No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
946,2010-01-27T11:49:00,2010-01-28T11:00,42,0.05 - 0.14 µm,0.285,0.0015,0.0008,<0.0006,0.0012,0.003,0.0205,0.0035,0.0121,<0.0002,<0.0002,0.063,<0.010,0.072,2.95,0.04,0.07,0.23,<0.0096,0.44,0.05,0.14,0.36,0.032,0.003,0.001,0.053,<0.0048,0.035,0.009,0.01
947,2010-01-27T11:49:00,2010-01-28T11:00,42,0.14 - 0.42 µm,0.7,0.0212,0.0788,<0.0006,0.0038,0.0091,0.036,0.0042,0.2506,0.0019,<0.0002,0.062,0.022,0.085,4.02,0.06,0.49,0.04,0.037,1.2,0.17,0.08,0.41,0.044,0.009,0.005,0.068,0.005,0.043,<0.0036,0.022
948,2010-01-27T11:49:00,2010-01-28T11:00,42,0.42 - 1.2 µm,2.375,0.1819,<0.0006,<0.0006,0.0189,0.0373,0.2815,0.0937,0.1257,0.0019,<0.0002,0.135,0.014,0.149,35.29,4.04,0.19,0.36,0.525,43.65,0.06,0.08,0.42,0.066,0.019,0.058,0.531,0.066,0.365,<0.0036,0.106
949,2010-01-27T11:49:00,2010-01-28T11:00,42,1.2 - 3.5 µm,12.903,1.6228,<0.0006,0.0527,0.22,0.4862,2.5463,0.6931,0.5968,0.0276,<0.0002,0.163,0.012,0.175,162.5,3.77,0.13,0.27,1.302,49.08,0.06,0.12,0.44,0.036,0.038,0.079,1.555,0.068,1.016,<0.0036,0.203
950,2010-01-27T11:49:00,2010-01-28T11:00,42,3.5 - 10 µm,16.152,2.6726,<0.0006,0.0919,0.3433,0.5701,4.5345,0.3198,0.8205,0.017,<0.0002,0.215,0.018,0.233,572.67,14.88,0.42,0.49,3.849,155.28,0.2,0.19,0.58,0.111,0.077,0.04,5.974,0.282,1.69,0.165,0.652
951,2010-01-28T11:30:00,2010-01-29T11:26,42,0.05 - 0.14 µm,0.249,0.0108,0.0044,<0.0006,0.0013,0.008,0.0339,0.004,0.0206,<0.0002,<0.0002,0.04,<0.010,0.049,2.2,0.05,0.08,0.23,<0.0096,0.58,0.03,0.07,0.35,0.041,0.005,<0.001,<0.0372,<0.0048,0.044,0.014,0.016
952,2010-01-28T11:30:00,2010-01-29T11:26,42,0.14 - 0.42 µm,0.878,0.0107,0.1005,0.0084,0.0027,0.0094,0.0241,0.0041,0.2925,0.004,<0.0002,0.073,0.065,0.138,5.46,0.44,1.04,0.95,0.068,4.73,0.28,<0.048,0.55,0.119,0.045,0.006,0.093,0.063,<0.0048,<0.0036,0
953,2010-01-28T11:30:00,2010-01-29T11:26,42,0.42 - 1.2 µm,2.46,0.1564,0.0007,0.0066,0.0191,0.0317,0.2153,0.0961,0.1585,0.0032,<0.0002,0.079,0.031,0.11,37.33,1.43,0.19,0.24,0.592,19.71,0.05,0.06,0.5,0.083,0.011,0.06,0.499,0.05,0.393,<0.0036,0.061
954,2010-01-28T11:30:00,2010-01-29T11:26,42,1.2 - 3.5 µm,13.851,1.026,0.0023,0.0532,0.1371,0.398,1.6598,0.882,0.3984,0.0182,<0.0002,0.197,0.019,0.215,333.32,1.94,0.18,0.14,3.826,51.11,0.08,0.17,0.62,0.088,0.061,0.184,2.868,0.071,1.576,<0.0036,0.373
955,2010-01-28T11:30:00,2010-01-29T11:26,42,3.5 - 10 µm,17.121,1.3771,0.0017,0.0534,0.1743,0.45,2.4076,0.482,0.4817,0.0166,<0.0002,0.232,0.048,0.28,192.77,11.45,0.22,0.35,3.16,100.87,0.08,0.06,0.35,0.045,0.029,0.007,2.327,0.173,1.006,0.164,0.534
956,2010-01-29T11:52:00,2010-01-30T11:04,42,0.05 - 0.14 µm,0.211,0.0141,0.0038,<0.0006,0.0026,0.0115,0.0412,0.0077,0.0226,<0.0002,<0.0002,,,,3.41,0.23,0.08,0.16,0.018,2.33,<0.0144,<0.048,0.44,0.034,0.005,<0.001,0.078,0.011,0.044,0.019,0.053
957,2010-01-29T11:52:00,2010-01-30T11:04,42,0.14 - 0.42 µm,1.361,0.0114,0.1384,0.0303,0.0021,0.0069,0.0242,0.005,0.4193,0.0078,<0.0002,0.08,0.146,0.225,5.4,0.36,0.93,0.2,0.09,4.03,0.3,0.07,0.73,0.08,0.032,0.007,0.086,0.161,0.083,<0.0036,0.014
958,2010-01-29T11:52:00,2010-01-30T11:04,42,0.42 - 1.2 µm,2.98,0.1267,0.0071,0.0226,0.0179,0.0363,0.1466,0.1001,0.2379,0.0071,<0.0002,0.095,0.099,0.194,28.46,1.73,0.19,0.18,0.686,21.8,0.04,0.06,0.52,0.043,0.02,0.029,0.409,0.074,0.287,<0.0036,0.12
959,2010-01-29T11:52:00,2010-01-30T11:04,42,1.2 - 3.5 µm,18.022,0.9897,0.0094,0.0413,0.1409,0.36,1.536,1.0647,0.5071,0.0135,<0.0002,0.171,0.021,0.192,302.18,15.86,0.52,0.59,6.357,209.23,0.23,0.25,0.75,0.209,0.031,0.158,3.732,0.357,3.579,0.373,1.098
960,2010-01-29T11:52:00,2010-01-30T11:04,42,3.5 - 10 µm,23.7,1.6568,0.0032,0.0726,0.2371,0.6118,2.9858,0.8268,0.6433,0.0145,<0.0002,0.275,0.067,0.342,188.37,21.83,0.38,0.39,4.13,182.04,0.17,0.14,0.5,0.126,0.034,0.005,2.476,0.34,1.687,0.525,0.672
961,2010-01-30T11:30:00,2010-01-31T11:03,42,0.05 - 0.14 µm,0.231,0.0009,0.0039,<0.0006,<0.0006,<0.0025,0.0155,0.0021,0.0193,<0.0002,<0.0002,0.051,<0.010,0.057,3.31,0.23,0.08,0.27,0.033,2.44,0.05,0.05,0.39,0.029,0.003,<0.001,0.055,0.006,0.024,0.007,<0.006
962,2010-01-30T11:30:00,2010-01-31T11:03,42,0.14 - 0.42 µm,1.357,0.0242,0.0539,0.0261,0.0034,<0.0025,0.0177,0.0024,0.2632,0.0051,<0.0002,0.093,0.123,0.216,4.6,0.03,0.58,0.04,0.046,0.82,0.18,0.08,0.72,0.082,0.021,0.01,0.098,0.148,0.063,0.018,0.012
963,2010-01-30T11:30:00,2010-01-31T11:03,42,0.42 - 1.2 µm,3.598,0.3788,0.0126,0.0381,0.0436,0.027,0.5864,0.0683,0.3379,0.011,<0.0002,0.086,0.076,0.162,19.98,0.71,0.1,0.26,0.444,8.54,0.04,0.05,0.51,0.046,0.019,0.017,0.398,0.06,0.13,<0.0036,0.043
964,2010-01-30T11:30:00,2010-01-31T11:03,42,1.2 - 3.5 µm,19.278,2.1139,0.025,0.0925,0.2819,0.2564,3.9,0.7342,0.7206,0.0169,0.004,0.247,0.026,0.273,218.1,1.28,0.13,0.12,2.609,42.09,0.08,0.14,0.49,0.047,0.046,0.088,2.79,0.067,1.552,<0.0036,0.476
965,2010-01-30T11:30:00,2010-01-31T11:03,42,3.5 - 10 µm,32.023,4.8835,0.011,0.2139,0.6786,0.4442,9.2884,0.6043,1.4545,0.0157,0.0188,0.291,0.056,0.347,256.48,7.88,0.2,0.26,2.912,78.82,0.1,0.13,0.46,0.04,0.048,0.01,3.922,0.156,<0.0048,<0.0036,0.431
966,2010-01-31T11:30:00,2010-02-01T11:00,42,0.05 - 0.14 µm,0.057,0.0015,0.0003,<0.0006,0.0037,<0.0025,0.0208,0.0037,0.0078,<0.0002,<0.0002,0.043,<0.010,0.045,1.99,0.01,0.04,0.13,<0.0096,0.32,0.02,0.05,0.34,0.028,0.003,0.001,0.037,<0.0048,0.027,0.005,<0.006
967,2010-01-31T11:30:00,2010-02-01T11:00,42,0.14 - 0.42 µm,0.455,0.0178,0.0476,0.0006,0.002,<0.0025,0.0162,0.0017,0.1801,0.0019,<0.0002,0.055,0.02,0.075,2.36,0.03,0.12,0.11,<0.0096,0.41,0.02,<0.048,0.41,0.039,0.022,0.002,0.037,0.013,<0.0048,<0.0036,<0.006
968,2010-01-31T11:30:00,2010-02-01T11:00,42,0.42 - 1.2 µm,1.411,0.2479,-0.0005,0.0076,0.0259,0.0073,0.4243,0.0211,0.1612,0.0039,<0.0002,0.071,0.016,0.087,11.68,0.03,0.03,0.22,0.035,0.77,0.03,0.07,0.53,0.032,0.01,0.021,0.285,0.015,0.034,0.008,0.008
969,2010-01-31T11:30:00,2010-02-01T11:00,42,1.2 - 3.5 µm,8.164,1.5578,0.0013,0.0619,0.2146,0.0656,2.9213,0.1876,0.4724,0.0102,0.0023,0.111,<0.010,0.114,45.81,0.56,0.02,<0.0336,0.032,6.73,<0.0144,<0.048,0.22,<0.0228,0.276,0.001,1.196,0.101,<0.0048,<0.0036,<0.006
970,2010-01-31T11:30:00,2010-02-01T11:00,42,3.5 - 10 µm,20.268,4.3288,0.0237,0.1899,0.5726,0.1909,7.9904,0.1228,1.0288,0.0011,0.0135,0.134,0.013,0.147,109.06,2.44,0.05,0.12,0.186,18.55,<0.0144,<0.048,0.15,<0.0228,0.042,<0.001,2.223,0.124,0.073,0.218,0.036
1001,2010-02-01T11:30:00,2010-02-02T11:00,42,0.05 - 0.14 µm,0.064,0.0145,<0.0006,<0.0006,0.0067,0.0112,0.0381,0.003,0.0139,<0.0002,<0.0002,0.075,0.01,0.085,1.9,0.01,0.04,0.21,<0.0096,0.28,0.02,0.06,0.34,0.035,<0.003,0.001,<0.0372,<0.0048,0.021,<0.0036,<0.006
1002,2010-02-01T11:30:00,2010-02-02T11:00,42,0.14 - 0.42 µm,0.395,0.026,0.0164,<0.0006,0.003,0.0368,0.0705,0.0035,0.0961,0.0019,<0.0002,0.073,0.019,0.092,2.71,0.02,0.21,0.35,<0.0096,0.34,0.07,0.07,0.39,0.071,0.007,0.005,0.057,<0.0048,0.016,0.007,<0.006
1003,2010-02-01T11:30:00,2010-02-02T11:00,42,0.42 - 1.2 µm,1.207,0.2343,<0.0006,0.0017,0.0182,0.0546,0.4093,0.0235,0.1166,0.0042,<0.0002,0.082,0.025,0.107,8.3,0.04,0.02,0.09,<0.0096,0.56,<0.0144,0.06,0.36,0.045,0.006,0.019,0.199,<0.0048,0.015,0.006,0.017
1004,2010-02-01T11:30:00,2010-02-02T11:00,42,1.2 - 3.5 µm,7.416,1.4823,0.0007,0.0573,0.1889,0.123,2.7976,0.187,0.4627,0.0104,<0.0002,0.114,0.008,0.121,32.71,0.08,0,<0.0336,0.012,1.25,<0.0144,0.06,0.31,<0.0228,0.008,0.02,0.652,<0.0048,<0.0048,<0.0036,0.016
1005,2010-02-01T11:30:00,2010-02-02T11:00,42,3.5 - 10 µm,19.065,3.906,0.0154,0.1724,0.5455,0.234,7.0829,0.0931,1.0264,0.003,0.0096,0.203,0.021,0.224,22.64,0.07,0,0.03,<0.0096,0.78,<0.0144,<0.048,0.13,0.025,0.006,<0.001,0.676,<0.0048,<0.0048,<0.0036,<0.006
1066,2010-02-02T11:30:00,2010-02-03T11:00,42,0.05 - 0.14 µm,0.122,0.0082,<0.0006,<0.0006,0.0016,0.0523,0.0307,0.0032,0.007,<0.0002,<0.0002,0.06,0.014,0.074,,,,,,,,,,,,,,,,,
1067,2010-02-02T11:30:00,2010-02-03T11:00,42,0.14 - 0.42 µm,0.287,0.0377,<0.0006,<0.0006,0.0039,0.0479,0.0427,0.0038,0.0739,<0.0002,<0.0002,0.063,<0.010,0.071,3.91,0.02,0.01,<0.0336,<0.0096,<0.1776,<0.0144,<0.048,0.35,<0.0228,0.007,0.002,0.083,<0.0048,0.052,0.01,0.022
1068,2010-02-02T11:30:00,2010-02-03T11:00,42,0.42 - 1.2 µm,1.692,0.3732,<0.0006,0.0078,0.0368,0.0693,0.7088,0.015,0.1127,0.0008,<0.0002,0.079,0.013,0.093,22.46,0.03,0.01,0.25,<0.0096,<0.1776,<0.0144,<0.048,0.32,0.024,0.011,0.014,0.618,<0.0048,0.015,0.009,<0.006
1069,2010-02-02T11:30:00,2010-02-03T11:00,42,1.2 - 3.5 µm,8.953,2.0821,0.0028,0.0775,0.2763,0.1335,3.8624,0.0851,0.5709,0.0024,0.0028,0.145,0.017,0.162,41.65,0,0,0.06,<0.0096,0.29,<0.0144,0.05,0.36,<0.0228,0.01,0.011,1.099,<0.0048,<0.0048,<0.0036,<0.006
1070,2010-02-02T11:30:00,2010-02-03T11:00,42,3.5 - 10 µm,18.395,3.6703,0.0039,0.1643,0.5432,0.2115,7.032,0.0269,1.0257,0,0.0121,0.144,0.049,0.193,79.28,0.16,0,0.04,<0.0096,1.48,<0.0144,<0.048,0.2,<0.0228,0.005,<0.001,2.064,<0.0048,<0.0048,<0.0036,<0.006
1006,2010-02-03T11:30:00,2010-02-04T11:12,42,0.05 - 0.14 µm,0.06,0.0309,<0.0006,<0.0006,0.0068,0.0259,0.036,0.0043,0.0086,<0.0002,0,0.099,0.03,0.129,,,,,,,,,,,,,,,,,
1007,2010-02-03T11:30:00,2010-02-04T11:12,42,0.14 - 0.42 µm,0.41,0.1626,<0.0006,<0.0006,0.0052,0.038,0.2333,0.004,0.1267,0.0013,0,<0.020,<0.010,0.013,3.21,0.01,0.02,0.33,<0.0096,1.08,<0.0144,0.04,0.34,<0.0228,0.004,0.002,0.052,<0.0048,0.023,0.009,<0.006
1008,2010-02-03T11:30:00,2010-02-04T11:12,42,0.42 - 1.2 µm,2.3,0.5122,<0.0006,0.0126,0.0551,0.0645,0.9525,0.0193,0.1842,0.0021,0,0.076,<0.010,0.083,11.85,0.02,0.01,0.42,<0.0096,<0.1776,<0.0144,<0.048,0.3,0.031,0.011,0.009,0.31,<0.0048,0.035,0.032,0.02
1009,2010-02-03T11:30:00,2010-02-04T11:12,42,1.2 - 3.5 µm,11.858,2.6113,0.0088,0.1076,0.3639,0.1503,4.929,0.109,0.7569,0.0031,0.0075,0.118,0.015,0.134,90.92,0.1,0.01,0.21,<0.0096,0.98,<0.0144,<0.048,0.24,0.041,<0.003,<0.001,2.84,<0.0048,<0.0048,<0.0036,0.028
1010,2010-02-03T11:30:00,2010-02-04T11:12,42,3.5 - 10 µm,24.533,5.084,0.017,0.2073,0.6588,0.2878,9.8336,0.039,1.3585,0.0018,0.0183,0.221,0.041,0.262,48.91,0,0,0.03,<0.0096,0.38,<0.0144,<0.048,0,0.036,<0.003,<0.001,1.386,<0.0048,<0.0048,<0.0036,<0.006
1111,2010-02-04T11:38:00,2010-02-05T11:08,42,0.05 - 0.14 µm,0.414,0.0542,<0.0006,<0.0006,0.0044,0.0355,0.1281,<0.0012,0.0141,<0.0002,<0.0002,0.06,<0.010,0.067,2.28,0.05,0.08,0.23,<0.0096,0.53,0.03,<0.048,0.37,0.024,0.004,0.001,<0.0372,<0.0048,0.009,0.006,<0.006
1112,2010-02-04T11:38:00,2010-02-05T11:08,42,0.14 - 0.42 µm,0.993,0.1304,0.0182,0.0022,0.0097,0.0527,0.1249,0.0028,0.3069,<0.0002,<0.0002,0.074,<0.010,0.08,4.63,0.11,1.04,0.29,0.043,1.59,0.35,0.08,0.54,0.118,0.023,0.022,0.105,0.062,0.043,<0.0036,<0.006
1113,2010-02-04T11:38:00,2010-02-05T11:08,42,0.42 - 1.2 µm,3.306,0.6067,<0.0006,0.0154,0.0718,0.0726,1.085,0.0274,0.3105,0.0013,<0.0002,0.072,<0.010,0.073,65.72,2.46,0.3,0.17,1.709,45.36,0.12,0.08,0.57,0.06,0.032,0.058,1.15,0.102,1.51,<0.0036,0.164
1114,2010-02-04T11:38:00,2010-02-05T11:08,42,1.2 - 3.5 µm,17.361,3.7559,0.009,0.1583,0.5118,0.217,7.3194,0.2873,1.0932,0.0056,0.0091,0.124,0.023,0.147,608.73,48.92,1.62,1.09,12.462,690.88,0.63,0.61,1.51,0.635,<0.003,0.177,8.792,1.416,9.325,1.58,2.322
1115,2010-02-04T11:38:00,2010-02-05T11:08,42,3.5 - 10 µm,31.043,6.3529,0.009,0.2729,0.8964,0.359,12.129,0.15,1.7297,0.0018,0.0244,0.18,0.014,0.194,631.88,47.17,1.26,1.32,9.755,553.77,0.55,0.5,1.11,0.494,<0.003,0.022,7.786,1.217,7.884,1.557,1.812
1116,2010-02-05T11:32:00,2010-02-06T11:00,42,0.05 - 0.14 µm,0.342,0.0481,0.0024,<0.0006,0.0028,0.0617,0.0948,0.003,0.0326,<0.0002,<0.0002,0.057,<0.010,0.065,3.36,0.13,0.02,0.03,<0.0096,1.77,<0.0144,<0.048,0.31,0.027,0.003,0.002,0.066,0.006,<0.0048,<0.0036,<0.006
1117,2010-02-05T11:32:00,2010-02-06T11:00,42,0.14 - 0.42 µm,1.098,0.0691,0.0515,0.0008,0.0063,0.0447,0.0563,0.0026,0.333,0.0006,<0.0002,0.085,0.023,0.108,9.9,0.61,0.46,0.26,0.164,7.38,0.12,<0.048,0.56,0.07,0.025,0.006,0.209,0.087,0.089,0.056,0.009
1118,2010-02-05T11:32:00,2010-02-06T11:00,42,0.42 - 1.2 µm,2.964,0.4288,0.0039,0.013,0.0535,0.0624,0.7736,0.0352,0.2517,<0.0002,<0.0002,0.099,0.074,0.173,154.29,6.52,0.42,1.18,3.391,113.73,0.16,0.12,0.71,0.164,0.052,0.094,2.675,0.222,2.752,<0.0036,0.534
1119,2010-02-05T11:32:00,2010-02-06T11:00,42,1.2 - 3.5 µm,18.03,2.9437,0.0025,0.1219,0.3845,0.2689,5.2889,0.4838,0.8466,0.0065,0.0042,0.172,0.015,0.188,1963.52,220.95,6.17,4.68,44.924,2732.48,2.36,2.05,4.93,3.328,<0.003,0.311,37.355,6.406,33.109,7.353,8.253
1120,2010-02-05T11:32:00,2010-02-06T11:00,42,3.5 - 10 µm,35.322,6.2644,0.0069,0.2781,0.8632,0.4878,12.1716,0.4705,1.5757,0.0031,0.0179,0.303,0.058,0.362,1182,126.4,2.84,2.72,23.202,1369.4,1.26,1.04,3,1.475,<0.003,<0.001,19.68,3.124,19.528,4.647,3.714
1011,2010-02-06T11:40:00,2010-02-07T11:00,42,0.05 - 0.14 µm,0.273,0.0218,0.0056,<0.0006,0.0052,0.0232,0.052,0.0035,0.0309,0.0015,<0.0002,0.063,<0.010,0.072,3.28,0.08,0.01,0.05,<0.0096,0.96,<0.0144,<0.048,0.34,<0.0228,<0.003,<0.001,0.059,0.009,0.017,0.006,0.046
1012,2010-02-06T11:40:00,2010-02-07T11:00,42,0.14 - 0.42 µm,1.359,0.0557,0.0586,0.0124,0.0055,0.0364,0.059,0.0019,0.3127,0.002,<0.0002,0.117,0.067,0.184,4.71,0.03,0.27,0.14,<0.0096,0.43,0.12,0.06,0.37,0.091,0.007,0.005,0.101,<0.0048,0.034,0,<0.006
1013,2010-02-06T11:40:00,2010-02-07T11:00,42,0.42 - 1.2 µm,4.892,0.4172,0.0095,0.0295,0.0474,0.0996,0.7229,0.0701,0.375,0.0037,<0.0002,0.112,0.066,0.178,25.55,0.03,0.09,0.16,<0.0096,0.26,0.02,<0.048,0.38,0.062,0.018,0.016,0.606,<0.0048,0.014,0.008,0.014
1014,2010-02-06T11:40:00,2010-02-07T11:00,42,1.2 - 3.5 µm,40.515,3.1369,0.01,0.1442,0.3676,0.6139,5.6262,0.6886,1.1221,0.018,<0.0002,0.298,0.047,0.345,47.59,0.01,0,<0.0336,<0.0096,0.54,0.06,0.19,0.46,0.109,0.021,0.016,1.389,<0.0048,<0.0048,<0.0036,<0.006
1015,2010-02-06T11:40:00,2010-02-07T11:00,42,3.5 - 10 µm,42.805,4.8239,0.0119,0.2325,0.6147,0.7855,8.6901,0.3642,1.444,0.0133,<0.0002,0.513,0.052,0.565,133.75,0.15,0,<0.0336,<0.0096,1.77,<0.0144,<0.048,0.05,0.004,<0.003,<0.001,2.977,<0.0048,<0.0048,<0.0036,<0.006
1016,2010-02-07T11:30:00,2010-02-08T11:12,42,0.05 - 0.14 µm,0.307,0.037,<0.0006,<0.0006,0.0053,0.0339,0.0451,0.0037,0.0164,<0.0002,<0.0002,0.073,<0.010,0.077,2.81,0.05,0.25,0.4,0.011,1.56,0.22,0.46,0.62,0.052,0.006,0.001,0.04,<0.0048,0.033,0.021,0.013
1017,2010-02-07T11:30:00,2010-02-08T11:12,42,0.14 - 0.42 µm,1.466,0.0689,0.0526,0.0256,0.0067,0.0656,0.0715,0.0046,0.3317,0.0044,<0.0002,0.113,0.099,0.212,3.92,0.05,1.2,0.28,<0.0096,0.69,0.42,0.06,0.38,0.092,0.011,0.009,0.073,0.006,0.023,<0.0036,0.011
1018,2010-02-07T11:30:00,2010-02-08T11:12,42,0.42 - 1.2 µm,8.39,0.3509,0.0146,0.0383,0.0488,0.1505,0.6353,0.0715,0.3977,0.0047,<0.0002,0.11,0.095,0.205,23.64,1.1,0.28,0.22,0.174,12.67,0.09,0.07,0.43,0.066,0.017,0.028,0.514,0.021,0.183,0.022,0.019
1019,2010-02-07T11:30:00,2010-02-08T11:12,42,1.2 - 3.5 µm,65.376,3.0763,0.0135,0.1701,0.3358,1.1995,5.8082,0.6697,1.5289,0.033,0.2157,0.422,0.059,0.481,127.2,4.56,0.18,0.16,1.397,65.99,0.08,0.12,0.46,0.057,0.041,0.155,1.986,0.104,1.52,<0.0036,0.187
1020,2010-02-07T11:30:00,2010-02-08T11:12,42,3.5 - 10 µm,58.534,5.2348,0.025,0.2557,0.5609,1.0724,10.2093,0.2666,1.6289,0.0081,<0.0002,0.827,0.083,0.91,283.52,21.34,0.44,0.44,3.194,216.52,0.35,0.21,0.58,0.114,0.061,0.027,4.794,0.46,3.207,0.487,0.658
1021,2010-02-08T11:35:00,2010-02-09T11:10,42,0.05 - 0.14 µm,0.298,0.0322,0.0025,<0.0006,0.0031,0.0449,0.0576,0.0029,0.0332,<0.0002,<0.0002,0.068,<0.010,0.076,2.26,0.03,0,0.15,<0.0096,0.38,<0.0144,<0.048,0.51,<0.0228,<0.003,<0.001,0.043,<0.0048,<0.0048,<0.0036,<0.006
1022,2010-02-08T11:35:00,2010-02-09T11:10,42,0.14 - 0.42 µm,1.172,0.0753,0.0736,0.0212,0.0108,0.0964,0.0464,0.0018,0.3804,0.0035,<0.0002,0.112,0.081,0.193,6.28,0.08,0.33,0.03,0.015,1.08,0.13,0.06,0.62,0.073,0.028,0.019,0.149,0.099,0.057,0.013,0.015
1023,2010-02-08T11:35:00,2010-02-09T11:10,42,0.42 - 1.2 µm,3.875,0.636,0.0072,0.0431,0.0847,0.1229,1.0665,0.0474,0.439,0.006,<0.0002,0.105,0.055,0.161,37.41,0.1,0.16,0.1,0.381,6.34,0.09,0.07,0.61,0.049,0.021,0.046,0.858,0.084,0.288,<0.0036,0.027
1024,2010-02-08T11:35:00,2010-02-09T11:10,42,1.2 - 3.5 µm,20.399,3.4046,0.0073,0.1418,0.4627,0.2859,6.5451,0.4145,1.0145,0.0058,0.0082,0.145,0.016,0.162,2229.13,221.84,5.66,6.7,31.171,2447.15,2.43,2.63,8.93,1.558,0.557,1.383,41.522,4.532,32.939,3.751,7.257
1025,2010-02-08T11:35:00,2010-02-09T11:10,42,3.5 - 10 µm,35.454,6.2055,0.0066,0.2731,0.8574,0.4386,11.9679,0.2292,1.6948,0.003,0.0227,0.315,0.043,0.358,260.65,11.58,0.26,0.39,1.24,111.75,0.12,0.16,1.2,0.116,0.044,0.005,4.738,0.203,0.827,0.079,0.355
1026,2010-02-09T11:30:00,2010-02-10T11:06,42,0.05 - 0.14 µm,0.227,0.011,<0.0006,<0.0006,<0.0006,0.0288,0.027,0.0032,0.0209,<0.0002,<0.0002,0.064,<0.010,0.072,3.52,0.08,0.02,0.38,<0.0096,0.66,<0.0144,0.06,0.36,0.025,0.003,0.001,0.056,0.008,0.041,0.014,0.022
1027,2010-02-09T11:30:00,2010-02-10T11:06,42,0.14 - 0.42 µm,1.211,0.1518,0.0305,0.0147,0.011,0.0592,0.1203,0.0048,0.3928,0.0051,<0.0002,0.104,0.062,0.166,6.52,0.08,0.23,0.61,0.015,1,0.08,<0.048,0.48,0.042,0.019,0.006,0.157,0.047,<0.0048,<0.0036,<0.006
1028,2010-02-09T11:30:00,2010-02-10T11:06,42,0.42 - 1.2 µm,6.683,0.8646,0.0072,0.0384,0.0988,0.1252,1.4862,0.052,0.4996,0.0073,0.0011,0.083,0.062,0.145,54.26,1.08,0.15,0.13,0.886,29.32,0.09,0.05,0.61,0.048,0.018,0.044,1.164,0.056,0.728,<0.0036,0.133
1029,2010-02-09T11:30:00,2010-02-10T11:06,42,1.2 - 3.5 µm,35.222,5.198,0.0053,0.2077,0.6642,0.6474,9.0724,0.4676,1.6807,0.0213,0.0091,0.188,0.024,0.212,490.19,24.51,0.68,0.64,7.371,312.28,0.33,0.46,2.17,0.325,0.09,0.119,9.132,0.507,5.929,0.639,1.232
1030,2010-02-09T11:30:00,2010-02-10T11:06,42,3.5 - 10 µm,55.302,10.4394,0.0223,0.4612,1.3882,0.9009,17.9202,0.2462,2.5459,0.0036,0.0492,0.355,0.039,0.394,859.99,5.84,0.23,0.41,4.852,99.44,0.2,1.91,0.59,0.109,0.074,0.014,14.116,0.145,1.909,<0.0036,0.787
1031,2010-02-10T11:30:00,2010-02-11T11:13,42,0.05 - 0.14 µm,0.189,0.0194,<0.0006,<0.0006,0.0033,0.0283,0.0346,0.0038,0.0266,<0.0002,<0.0002,0.063,<0.010,0.072,10.29,0.37,0.06,0.04,<0.0096,1.25,<0.0144,<0.048,0.32,0.031,<0.003,<0.001,0.066,<0.0048,0.049,<0.0036,0.011
1032,2010-02-10T11:30:00,2010-02-11T11:13,42,0.14 - 0.42 µm,1.238,0.1067,0.0252,0.0104,0.009,0.0519,0.04,0.0052,0.3905,0.0058,<0.0002,0.083,0.061,0.144,15.97,0.07,0.57,0.12,0.043,1.21,0.23,0.07,0.47,0.039,0.024,0.01,0.177,0.05,0.481,0.021,0.036
1033,2010-02-10T11:30:00,2010-02-11T11:13,42,0.42 - 1.2 µm,6.982,0.8335,0.0142,0.0388,0.108,0.1388,1.4205,0.0752,0.544,0.0057,0.0007,0.102,0.033,0.135,70.98,2.71,0.3,0.34,1.204,44.45,0.1,0.16,0.64,0.094,0.026,0.046,1.46,0.103,0.996,0.595,0.185
1034,2010-02-10T11:30:00,2010-02-11T11:13,42,1.2 - 3.5 µm,37.817,5.5592,0.0114,0.2319,0.6832,0.6468,9.5799,0.6863,1.6991,0.0152,0.014,0.168,0.033,0.2,442.78,11.04,0.54,0.63,4.274,202.6,0.15,0.23,0.53,0.038,0.15,0.097,8.24,0.288,1.423,0.834,1.238
1035,2010-02-10T11:30:00,2010-02-11T11:13,42,3.5 - 10 µm,62.74,11.4042,0.0375,0.5097,1.4783,0.9208,19.9971,0.353,2.881,0.0045,0.0432,0.342,0.065,0.407,479.86,53.51,1.16,1.06,6.135,514.32,0.54,0.4,1.06,0.35,0.044,<0.001,9.694,1.221,6.104,3.46,1.233
1036,2010-02-11T11:31:00,2010-02-12T11:00,42,0.05 - 0.14 µm,0.249,0.0408,0.0006,<0.0006,0.0036,0.0246,0.0658,0.005,0.0249,0.0008,<0.0002,0.05,<0.010,0.059,2.52,0.04,0.04,0.21,0.012,0.61,0.02,0.07,0.41,0.028,<0.003,0.001,0.038,<0.0048,0.023,0.005,<0.006
